Pos,Pts,Team name,Best,2nd best,Provenance,Official
25,707,Commando,19 (373) Coup de Foudre,21 (334) Movember,,25 (0)
26,673,Connect4,4 (358) Oktober Disk,22 (315) Bye Bye,,26 (0)
27,658,Squall,4 (358) La Flotte,1 (300) CEQU4 Carleton,,31 (4)
28,658,Plan B,18 (394) Movember,25 (264) Bye Bye,,27 (-1)
29,649,Evolve,21 (334) Bye Bye,22 (315) Coup de Foudre,,28 (-1)
30,612,Chiefs,22 (315) Movember,23 (297) Coup de Foudre,,30 (0)
31,602,Carl Carmoni,5 (322) Oktober Disk,24 (280) Coup de Foudre,,29 (-2)
32,581,Quarks,23 (297) Movember,27 (284) Coup de Foudre,,32 (0)
33,561,VTM,23 (297) Bye Bye,25 (264) Coup de Foudre,,33 (0)
34,461,Bleu Marin,1 (250) CEQU4 Gaspe,9 (211) La Flotte,,40 (6)
35,441,Glenncellents,7 (261) La Flotte,31 (180) Movember,,34 (-1)
36,436,hamer time,24 (280) Movember,33 (156) Bye Bye,,35 (-1)
37,435,4-Da-Win,1 (250) Victo Bowl,35 (185) Coup de Foudre,,41 (4)
38,427,Arm & Hammer,8 (235) Oktober Disk,30 (192) Coup de Foudre,,36 (-2)
39,402,Subasko,2 (201) CEQU4 Carleton,2 (201) CEQU4 Gaspe,,50 (11)
40,398,Zizanie,3 (398) Oktober Disk,,,51 (11)
41,398,Brûlés,3 (398) La Flotte,,,52 (11)
42,388,Hurakan,28 (219) Bye Bye,11 (169) Oktober Disk,,38 (-4)
43,384,Bolt,30 (192) Movember,30 (192) Bye Bye,,37 (-6)
44,381,Vieux jeux,2 (201) Victo Bowl,31 (180) Bye Bye,,45 (1)
45,379,Weedeaters,9 (211) Oktober Disk,32 (168) Bye Bye,,39 (-6)
46,358,Quick and Dirty,4 (358) Bonne annee,,,53 (7)
47,342,Sasquatch!,8 (235) La Flotte,5 (107) La Viree,,46 (-1)
48,340,Hermaphrodisques,6 (340) La Flotte,,,56 (8)
49,334,Jackalopes,10 (189) La Flotte,34 (145) Coup de Foudre,,42 (-7)
50,323,Gusto,27 (234) Movember,40 (89) Coup de Foudre,,44 (-6)
51,322,Force toilette,5 (322) La Flotte,49 (0) Mars Attaque,,60 (9)
52,322,ECU 23,5 (322) Bonne annee,,,62 (10)
53,315,Bazooka,31 (180) Coup de Foudre,35 (135) Bye Bye,,43 (-10)
54,300,The Astronauts,32 (218) Coup de Foudre,41 (82) Movember,,47 (-7)
55,290,TC 23,6 (290) Bonne annee,,,65 (10)
